antigen_id,danger,safe,class
62,0,0.771428571,1
62,0,0.685714286,1
62,0,0.6,1
62,0,0.514285714,1
62,0,0.428571429,1
62,0,0.342857143,1
62,0,0.257142857,1
62,0,0.171428571,1
62,0,0.085714286,1
62,0,0,1
62,0,0,1
62,0,0,1
62,0,0,1
62,0,0,1
62,0,0,1
62,0,0,1
132,0,0,1
132,0,0,1
132,0,0,1
132,0,0,1
132,0,0,1
132,0,0,1
28,0,0.1,1
28,0,0.2,1
28,0,0.3,1
28,0,0.4,1
390,0,0.5,1
390,0,0.6,1
390,0,0.7,1
390,0,0.8,1
390,0,0.9,1
390,0,1,1
390,0,1,1
390,0,1,1
390,0,1,1
390,0,1,1
390,0,1,1
390,0,1,1
390,0,1,1
390,0,1,1
404,0,0.9,1
404,0,0.8,1
404,0,0.7,1
404,0,0.6,1
404,0,0.5,1
404,0,0.4,1
404,0,0.3,1
404,0,0.2,1
404,0,0.1,1
404,0,0,1
390,0,0.1,1
390,0,0.2,1
390,0,0.3,1
132,0,0.4,1
132,0,0.5,1
132,0,0.6,1
132,0,0.7,1
132,0,0.8,1
